Customer_ID,Default_Probability,Credit_Score,Score_Category,Predicted_Default,Actual_Default
46097,0.07453358465745394,824.444446828278,Excellent,0,0
50935,0.10189253608527124,778.9299634436243,Excellent,0,0
46745,0.46280252733546806,300.0,Very Poor,0,0
78671,0.2255247116124442,573.2548806947007,Very Poor,0,0
12013,0.1908134716599461,631.0006666853278,Poor,0,0
17585,0.3388733231618029,384.68758451567294,Very Poor,0,0
69445,0.5018573433991069,300.0,Very Poor,0,1
8996,0.2238646703522293,576.0165333316899,Very Poor,0,0
16893,0.13429536403611364,725.0244627786791,Good,0,0
27121,0.19272770473261794,627.8161393246816,Poor,0,0
82316,0.08771231873733365,802.5202413304174,Excellent,0,0
17374,0.09308777621448255,793.5776043776048,Excellent,0,0
11067,0.45196514636435897,300.0,Very Poor,0,0
43378,0.057199153957432136,850.0,Excellent,0,0
39581,0.04778643846234365,850.0,Excellent,0,0
11445,0.23244073825549544,561.7493454564998,Very Poor,0,0
83852,0.09750338380701151,786.2317783164872,Excellent,0,0
27416,0.08419945194659993,808.3642634451242,Excellent,0,0
53367,0.17527829688116328,656.8450582809678,Fair,0,0
75953,0.05845962971413388,850.0,Excellent,0,0
45274,0.10656114552514213,771.163242290547,Excellent,0,0
14506,0.1624797186114294,678.1368347418418,Fair,0,0
5028,0.05686576340639649,850.0,Excellent,0,0
64577,0.33508787903910114,390.98506759285937,Very Poor,0,0
4875,0.0636278592265192,842.5872641885659,Excellent,0,0
10601,0.5634737053711306,300.0,Very Poor,0,1
29182,0.16833414957373108,668.3973751918913,Fair,0,0
60045,0.3013811980003418,447.059664535584,Very Poor,0,0
51748,0.1355198790887127,722.9873536386295,Good,0,0
81802,0.0679563298372114,835.3863996301749,Excellent,0,0
57043,0.1951541293885093,623.7795275789407,Poor,0,0
2770,0.059240146370352104,849.8866844319016,Excellent,0,0
8842,0.25104214766179805,530.8039511643236,Very Poor,0,0
49483,0.38446840278220623,308.83539042555856,Very Poor,0,0
10184,0.4595767902485928,300.0,Very Poor,0,0
16405,0.5686493793793246,300.0,Very Poor,0,0
65584,0.09955376000113565,782.8207626031851,Excellent,0,0
391,0.3846716941892996,308.49719386145387,Very Poor,0,0
20089,0.2796936365363968,483.1391962569915,Very Poor,0,0
24501,0.24308747755105561,544.0373786785693,Very Poor,0,0
84842,0.3166552654218888,421.6496523972078,Very Poor,0,0
16123,0.19029713551395677,631.859645985011,Poor,0,0
31631,0.07593797721466897,822.1080926050711,Excellent,0,0
7684,0.08477563182749778,807.4057278197773,Excellent,0,0
23800,0.1958055640563908,622.695797727462,Poor,0,0
