Customer_ID,Credit_Score,Category,Default_Probability,Predicted_Default,Actual_Default
78510,828.7127770382226,Excellent,0.006846076377112107,0,0
63122,553.5460180132244,Very Poor,0.052732155702559416,0,0
71139,850.0,Excellent,0.0032953724170013566,0,0
70270,807.3003775718776,Excellent,0.010416751352324553,0,0
20392,843.0807696803366,Excellent,0.004450108010658398,0,0
64874,642.1867367382795,Poor,0.03795066441598642,0,0
78465,516.9069171964505,Very Poor,0.058841995032166854,0,0
21020,707.4334884317722,Good,0.027070289059080113,0,1
12526,802.9474560134928,Excellent,0.011142633012715621,0,0
20025,850.0,Excellent,0.0032035208029457802,0,0
30596,826.3853808184059,Excellent,0.00723418680128786,0,0
76638,759.0531870026574,Excellent,0.018462324958430386,0,0
62160,818.4104298161316,Excellent,0.008564068490498972,0,0
19920,841.8681015011844,Excellent,0.004652329341683973,0,0
52443,850.0,Excellent,0.003010437169407369,0,0
33357,816.6899599022797,Excellent,0.008850969492726792,0,1
55803,835.8972620590362,Excellent,0.005648010699609301,0,0
23759,823.7912262331282,Excellent,0.007666781143367209,0,0
83708,846.0476919666711,Excellent,0.003955351914880096,0,0
64382,828.5985948162154,Excellent,0.006865117101780837,0,0
10994,836.4325443604374,Excellent,0.005558748441949125,0,0
25508,813.5981066702883,Excellent,0.009366558741837049,0,0
38331,816.3651776508265,Excellent,0.008905129320049287,0,0
1845,831.1102180429206,Excellent,0.0064462854702836605,0,0
50594,785.7388632205898,Excellent,0.014012292330477667,0,0
56289,764.9314501517961,Excellent,0.01748208137772693,0,0
13088,820.8743292470242,Excellent,0.0081531951526857,0,0
59317,300.0,Very Poor,0.1543821024997466,0,0
70519,742.8033815086457,Good,0.021172099447774047,0,0
7123,821.4161322887272,Excellent,0.008062845513657923,0,0
25440,768.7256996651006,Excellent,0.01684936238665064,0,0
61547,824.2371185687831,Excellent,0.007592425319440777,0,0
21106,841.1796163208861,Excellent,0.004767139305320207,0,0
40802,812.8297377976234,Excellent,0.009494689898257379,0,0
43124,843.4519565647479,Excellent,0.0043882098697528285,0,0
81140,818.8680159632937,Excellent,0.008487762637563458,0,0
51721,841.8572884121221,Excellent,0.004654132503752747,0,0
18913,714.3082511470302,Good,0.02592387185224264,0,0
43972,825.9312321108281,Excellent,0.007309919435910226,0,0
48753,812.8989346274124,Excellent,0.009483150818348095,0,0
84203,814.6186531116466,Excellent,0.009196375122531417,0,0
21081,300.0,Very Poor,0.23002500869096162,0,0
52388,803.0138804792163,Excellent,0.011131556244888945,0,0
42949,849.9850185732384,Excellent,0.003298773766998741,0,0
68102,835.9538312399839,Excellent,0.0056385773729475345,0,0
82430,840.9439758415566,Excellent,0.00480643408701954,0,0
57020,817.0734927115597,Excellent,0.008787012578116576,0,0
